date,actual_net_sales,sarimax_forecast,hybrid_forecast,actual_transactions_count,predicted_transactions_count,actual_average_ticket,predicted_average_ticket,actual_kpi_net_sales,predicted_kpi_net_sales,hybrid_forecast_error,hybrid_forecast_accuracy,transactions_error,average_ticket_error
2026-03-24,3552.85,3562.543715673464,3672.22366603563,53,49.71393776328557,67.03490566037736,74.95353293922514,3552.8500000000004,3726.2352716790137,119.37366603562987,96.64005893759574,3.2860622367144288,7.918627278847779
2026-03-25,3423.75,3395.7612352044152,3435.9421574251423,49,49.981402797538784,69.87244897959184,74.9823372750311,3423.75,3747.722402044236,12.19215742514234,99.64389463526419,0.9814027975387845,5.109888295439262
2026-03-26,5969.32,4295.797082688267,4621.506104410746,76,61.245792869504136,78.54368421052631,80.06255960321401,5969.32,4903.494942060775,1347.8138955892537,77.42098102314412,14.754207130495864,1.518875392687704
2026-03-27,7735.98,6679.28156418946,6878.568002145949,82,78.84446174357826,94.34121951219512,88.36580414517611,7735.98,6967.154264364868,857.4119978540502,88.91656909849753,3.1555382564217354,5.975415367019011
2026-03-28,10981.05,9307.47863380924,9706.903376108774,116,92.0789345699688,94.66422413793104,95.88085907341292,10981.05,8828.607349133186,1274.1466238912253,88.39685982769203,23.921065430031206,1.2166349354818777
2026-03-29,4150.01,4059.178504915568,4154.343658279184,47,53.21716721796744,88.29808510638298,87.41076629276876,4150.01,4651.753366452947,4.33365827918351,99.89557475092388,6.217167217967443,0.8873188136142289
2026-03-30,3966.12,3394.140599350173,3238.156540128836,54,46.3492107725177,73.44666666666666,79.16566157633362,3966.12,3669.265934347293,727.9634598711641,81.64545046869071,7.650789227482299,5.718994909666961
2026-03-31,3162.65,3803.567494024175,3714.013622068825,61,47.92733536036141,51.84672131147541,75.90928883353962,3162.65,3638.129942891591,551.363622068825,82.56640405771032,13.072664639638589,24.062567522064207
2026-04-01,2715.0,3509.374318048839,3577.4374005740565,32,50.41142350017551,84.84375,77.03587586815578,2715.0,3883.488163096552,862.4374005740565,68.23434988677508,18.41142350017551,7.8078741318442155
2026-04-02,4616.02,4373.37177334984,4431.7876155534495,58,63.9959145645384,79.58655172413793,77.84643908131483,4616.02,4981.854064601367,184.2323844465509,96.00884778561291,5.995914564538403,1.7401126428231066
2026-04-03,9028.54,6745.750976863138,7496.817708110495,91,84.12303445434699,99.21472527472528,86.13607504630158,9028.54,7246.0280088822465,1531.7222918895059,83.03466239403596,6.876965545653007,13.078650228423697
2026-04-04,10031.07,9369.887453221689,9791.579138334277,88,99.04741448468975,113.9894318181818,92.19507454426284,10031.069999999998,9131.68376183247,239.49086166572306,97.61250931689517,11.047414484689753,21.794357273918962
2026-04-05,3667.61,4123.378909765811,4021.0896871308328,43,51.66911571529464,85.2932558139535,85.02904573136962,3667.61,4393.375603055217,353.47968713083264,90.3621244589574,8.669115715294637,0.26421008258387246
2026-04-06,3669.87,3458.449844524635,3937.1455914435855,46,48.86270989699637,79.77978260869565,77.51204214187871,3669.87,3787.448428702377,267.27559144358565,92.71702835676507,2.862709896996371,2.267740466816946
2026-04-07,7429.43,3867.616105549192,3848.618125583779,46,52.69706892235609,161.50934782608695,77.03795040927864,7429.429999999999,4059.674182354807,3580.811874416221,51.80233376697511,6.697068922356088,84.47139741680832
2026-04-08,4890.09,3573.549926213569,3635.413689978402,58,51.705216445344135,84.31189655172415,81.36566256432735,4890.09,4207.02919410738,1254.676310021598,74.34246997454856,6.294783554655865,2.946233987396795
2026-04-09,3927.57,4437.120160281377,4449.0536574630605,47,62.75079508003822,83.56531914893617,84.6278353353634,3927.57,5310.463953196607,521.4836574630604,86.7224859782751,15.750795080038223,1.0625161864272314
2026-04-10,7414.74,6808.337910597975,6996.949588704826,77,83.87876572595546,96.29532467532468,87.06076813824288,7414.740000000001,7302.549774589402,417.7904112951737,94.36540713099618,6.878765725955461,9.2345565370818
2026-04-11,9262.81,9431.19076768636,9894.616939563664,113,96.07738755912465,81.97176991150442,91.81428587110852,9262.81,8821.276727102755,631.8069395636649,93.17910073116403,16.922612440875355,9.8425159596041
2026-04-12,3577.61,4187.24776295349,4150.194833785289,35,53.71883937661034,102.21742857142856,88.2416537816992,3577.61,4740.23922582556,572.584833785289,83.99532554455939,18.71883937661034,13.975774789729357
2026-04-13,2219.53,3522.6438318890914,3518.825390131055,28,49.37027265723852,79.26892857142857,78.54489918022871,2219.53,3877.783088363202,1299.2953901310548,41.46078718778053,21.370272657238523,0.7240293911998634
2026-04-14,4111.99,3931.60999492972,3881.953585148669,62,61.47274182647513,66.3224193548387,79.26905296978114,4111.99,4872.886028040538,230.03641485133085,94.40571560603672,0.5272581735248707,12.946633614942442
2026-04-15,3782.23,3637.687617249187,3522.0444302903743,53,55.188944861275054,71.36283018867924,78.25490173224452,3782.23,4318.80545682534,260.1855697096257,93.12084220923568,2.188944861275054,6.8920715435652795
2026-04-16,3986.03,4500.835548622843,4451.223597238123,50,52.98308254834178,79.7206,78.27277485107327,3986.03,4147.132891222185,465.19359723812295,88.3294005002942,2.983082548341777,1.4478251489267393
2026-04-17,8848.11,6870.8937287304325,7166.180571521695,87,80.9493949158993,101.70241379310346,86.27690929020851,8848.11,6984.06360225631,1681.9294284783055,80.99108817048719,6.050605084100695,15.425504502894952
2026-04-18,11980.7,9492.463961439817,9256.988055094653,159,96.0771870692726,75.35031446540881,91.2507618327368,11980.7,8767.116514817493,2723.711944905348,77.26583634591178,62.9228129307274,15.900447367327985
2026-04-19,4876.01,4251.085343356163,4304.552185689905,58,51.88239666573899,84.06913793103449,86.90906053579229,4876.01,4509.050352564698,571.4578143100953,88.28021652313889,6.1176033342610125,2.8399226047578026
2026-04-20,2026.49,3586.806416098148,3499.715454232957,30,49.317273444885736,67.54966666666667,75.49173259713538,2026.49,3723.04641932112,1473.2254542329572,27.301617366335023,19.317273444885736,7.942065930468715
2026-04-21,5568.06,3995.572586999534,3952.842123514921,72,56.73260963610208,77.33416666666668,79.5759009956083,5568.06,4514.548527624953,1615.2178764850796,70.99137084576891,15.267390363897917,2.241734328941618
2026-04-22,3095.54,3701.793942884181,3768.596395147215,42,52.32825332084276,73.70333333333333,75.69995604073748,3095.54,3961.246476076372,673.056395147215,78.2572218369908,10.328253320842762,1.9966227074041427
